Country Name,Avg.Life_expectancy,Gender
Madagascar,62.97,2
Madagascar,67.617,3
Marshall Islands,65.146,1
Marshall Islands,63.546,2
Marshall Islands,67.092,3
Bolivia,64.928,1
Bolivia,62.265,2
Bolivia,67.907,3
Tuvalu,64.854,1
Tuvalu,61.136,2
Tuvalu,69.391,3
Mauritania,64.691,1
Mauritania,62.965,2
Mauritania,66.447,3
Nauru,64.014,1
Nauru,60.52,2
Nauru,67.841,3
Ghana,63.945,1
Ghana,61.805,2
Ghana,66.13,3
Haiti,63.728,1
Haiti,60.892,2
Haiti,66.695,3
Yemen,63.72,1
Yemen,60.493,2
Yemen,67.222,3
Comoros,63.68,1
Comoros,61.522,2
Comoros,66.061,3
Uganda,63.638,1
Uganda,61.486,2
Uganda,65.703,3
Republic of the Congo,63.053,1
Republic of the Congo,61.513,2
Republic of the Congo,64.617,3
Gambia,62.906,1
Gambia,61.481,2
Gambia,64.344,3
Malawi,62.898,1
Malawi,59.58,2
Malawi,66.326,3
Afghanistan,62.879,1
Afghanistan,59.766,2
Afghanistan,66.213,3
Djibouti,62.859,1
Djibouti,60.336,2
Djibouti,65.503,3
Niger,62.08,1
Niger,60.816,2
Niger,63.401,3
Kenya,62.055,1
Kenya,59.579,2
Kenya,64.686,3
Burundi,61.977,1
Burundi,60.077,2
Burundi,63.868,3
Angola,61.929,1
Angola,59.351,2
Angola,64.541,3
Zambia,61.803,1
Zambia,59.058,2
Zambia,64.51,3
Togo,61.588,1
Togo,60.946,2
Togo,62.227,3
South Africa,61.48,1
South Africa,58.597,2
South Africa,64.181,3
Equatorial Guinea,61.19,1
Equatorial Guinea,59.432,2
Equatorial Guinea,63.261,3
Liberia,61.1,1
Liberia,59.796,2
Liberia,62.392,3
Cameroon,60.958,1
Cameroon,59.392,2
Cameroon,62.556,3
Sierra Leone,60.411,1
Sierra Leone,59.115,2
Sierra Leone,61.693,3
Benin,59.954,1
Benin,58.265,2
Benin,61.676,3
Guinea-Bissau,59.861,1
Guinea-Bissau,57.671,2
Guinea-Bissau,61.929,3
Burkina Faso,59.766,1
Burkina Faso,57.953,2
Burkina Faso,61.505,3
DR Congo,59.743,1
DR Congo,57.516,2
DR Congo,62.05,3
Mozambique,59.625,1
Mozambique,56.529,2
Mozambique,62.688,3
Mali,59.417,1
Mali,58.068,2
Mali,60.832,3
Zimbabwe,59.391,1
Zimbabwe,56.428,2
Zimbabwe,62.094,3
Guinea,58.985,1
Guinea,57.643,2
Guinea,60.238,3
Ivory Coast,58.916,1
Ivory Coast,57.686,2
Ivory Coast,60.282,3
Namibia,58.059,1
Namibia,54.592,2
Namibia,61.704,3
Eswatini,56.36,1
Eswatini,52.647,2
Eswatini,60.599,3
Somalia,56.107,1
Somalia,54.072,2
Somalia,58.233,3
South Sudan,55.567,1
South Sudan,54.036,2
South Sudan,57.047,3
Central African Republic,54.477,1
Central African Republic,52.258,2
Central African Republic,56.829,3
Nigeria,53.633,1
Nigeria,53.295,2
Nigeria,53.968,3
Lesotho,53.036,1
Lesotho,50.319,2
Lesotho,55.923,3
Chad,52.997,1
Chad,51.3,2
Chad,54.769,3
