Country Name,Gender,Avg.Life_expectancy
Malawi,male,59.58
Malawi,female,66.326
Afghanistan,total,62.879
Afghanistan,male,59.766
Afghanistan,female,66.213
Djibouti,total,62.859
Djibouti,male,60.336
Djibouti,female,65.503
Niger,total,62.08
Niger,male,60.816
Niger,female,63.401
Kenya,total,62.055
Kenya,male,59.579
Kenya,female,64.686
Burundi,total,61.977
Burundi,male,60.077
Burundi,female,63.868
Angola,total,61.929
Angola,male,59.351
Angola,female,64.541
Zambia,total,61.803
Zambia,male,59.058
Zambia,female,64.51
Togo,total,61.588
Togo,male,60.946
Togo,female,62.227
South Africa,total,61.48
South Africa,male,58.597
South Africa,female,64.181
Equatorial Guinea,total,61.19
Equatorial Guinea,male,59.432
Equatorial Guinea,female,63.261
Liberia,total,61.1
Liberia,male,59.796
Liberia,female,62.392
Cameroon,total,60.958
Cameroon,male,59.392
Cameroon,female,62.556
Sierra Leone,total,60.411
Sierra Leone,male,59.115
Sierra Leone,female,61.693
Benin,total,59.954
Benin,male,58.265
Benin,female,61.676
Guinea-Bissau,total,59.861
Guinea-Bissau,male,57.671
Guinea-Bissau,female,61.929
Burkina Faso,total,59.766
Burkina Faso,male,57.953
Burkina Faso,female,61.505
DR Congo,total,59.743
DR Congo,male,57.516
DR Congo,female,62.05
Mozambique,total,59.625
Mozambique,male,56.529
Mozambique,female,62.688
Mali,total,59.417
Mali,male,58.068
Mali,female,60.832
Zimbabwe,total,59.391
Zimbabwe,male,56.428
Zimbabwe,female,62.094
Guinea,total,58.985
Guinea,male,57.643
Guinea,female,60.238
Ivory Coast,total,58.916
Ivory Coast,male,57.686
Ivory Coast,female,60.282
Namibia,total,58.059
Namibia,male,54.592
Namibia,female,61.704
Eswatini,total,56.36
Eswatini,male,52.647
Eswatini,female,60.599
Somalia,total,56.107
Somalia,male,54.072
Somalia,female,58.233
South Sudan,total,55.567
South Sudan,male,54.036
South Sudan,female,57.047
Central African Republic,total,54.477
Central African Republic,male,52.258
Central African Republic,female,56.829
Nigeria,total,53.633
Nigeria,male,53.295
Nigeria,female,53.968
Lesotho,total,53.036
Lesotho,male,50.319
Lesotho,female,55.923
Chad,total,52.997
Chad,male,51.3
Chad,female,54.769
