Country Name,Gender,Lifeexp
Fiji,3,70
Indonesia,1,68
Indonesia,2,66
Indonesia,3,70
Senegal,1,68
Senegal,2,65
Senegal,3,70
India,1,68
India,2,66
India,3,69
Kiribati,1,68
Kiribati,2,66
Kiribati,3,69
Myanmar,1,67
Myanmar,2,64
Myanmar,3,70
Rwanda,1,67
Rwanda,2,65
Rwanda,3,69
Tanzania,1,67
Tanzania,2,65
Tanzania,3,69
Eritrea,1,67
Eritrea,2,64
Eritrea,3,69
Pakistan,1,66
Pakistan,2,64
Pakistan,3,69
Guyana,1,66
Guyana,2,63
Guyana,3,69
Papua New Guinea,1,66
Papua New Guinea,2,63
Papua New Guinea,3,69
Botswana,1,66
Botswana,2,63
Botswana,3,68
Gabon,1,66
Gabon,2,63
Gabon,3,68
Ethiopia,1,66
Ethiopia,2,63
Ethiopia,3,69
Sudan,1,66
Sudan,2,63
Sudan,3,68
Palau,1,65
Palau,2,62
Palau,3,69
Madagascar,1,65
Madagascar,2,63
Madagascar,3,68
Marshall Islands,1,65
Marshall Islands,2,64
Marshall Islands,3,67
Bolivia,1,65
Bolivia,2,62
Bolivia,3,68
Tuvalu,1,65
Tuvalu,2,61
Tuvalu,3,69
Mauritania,1,65
Mauritania,2,63
Mauritania,3,66
Nauru,1,64
Nauru,2,61
Nauru,3,68
Ghana,1,64
Ghana,2,62
Ghana,3,66
Haiti,1,64
Haiti,2,61
Haiti,3,67
Yemen,1,64
Yemen,2,60
Yemen,3,67
Comoros,1,64
Comoros,2,62
Comoros,3,66
Uganda,1,64
Uganda,2,61
Uganda,3,66
Republic of the Congo,1,63
Republic of the Congo,2,62
Republic of the Congo,3,65
Gambia,1,63
Gambia,2,61
Gambia,3,64
Malawi,1,63
Malawi,2,60
Malawi,3,66
Afghanistan,1,63
Afghanistan,2,60
Afghanistan,3,66
Djibouti,1,63
Djibouti,2,60
Djibouti,3,66
Niger,1,62
Niger,2,61
Niger,3,63
Kenya,1,62
Kenya,2,60
Kenya,3,65
Burundi,1,62
Burundi,2,60
Burundi,3,64
Angola,1,62
Angola,2,59
Angola,3,65
Zambia,1,62
Zambia,2,59
Zambia,3,65
Togo,1,62
Togo,2,61
Togo,3,62
South Africa,1,61
South Africa,2,59
South Africa,3,64
Equatorial Guinea,1,61
Equatorial Guinea,2,59
Equatorial Guinea,3,63
Liberia,1,61
Liberia,2,60
Liberia,3,62
Cameroon,1,61
Cameroon,2,59
Cameroon,3,63
Sierra Leone,1,60
Sierra Leone,2,59
Sierra Leone,3,62
Benin,1,60
Benin,2,58
Benin,3,62
Guinea-Bissau,1,60
Guinea-Bissau,2,58
Guinea-Bissau,3,62
